observed_utc_date,version,architecture,kind,observed_download_increase
2026-09-08,v0.2.0-beta.1,aarch64,installer,0
2026-09-09,v0.2.0-beta.1,aarch64,installer,2
2026-09-10,v0.2.0-beta.1,aarch64,installer,1
2026-09-11,v0.2.0-beta.1,aarch64,installer,0
2026-09-12,v0.2.0-beta.1,aarch64,installer,0
2026-09-12,v0.2.0-beta.2,aarch64,installer,0
2026-09-12,v0.2.0-beta.2,aarch64,update,0
2026-09-12,v0.2.0-beta.2,x86_64,installer,0
2026-09-12,v0.2.0-beta.2,x86_64,update,0
2026-09-13,v0.2.0-beta.1,aarch64,installer,0
2026-09-13,v0.2.0-beta.2,aarch64,installer,11
2026-09-13,v0.2.0-beta.2,aarch64,update,2
2026-09-13,v0.2.0-beta.2,x86_64,installer,11
2026-09-13,v0.2.0-beta.2,x86_64,update,2
2026-09-14,v0.2.0-beta.1,aarch64,installer,0
2026-09-14,v0.2.0-beta.2,aarch64,installer,1
2026-09-14,v0.2.0-beta.2,aarch64,update,0
2026-09-14,v0.2.0-beta.2,x86_64,installer,0
2026-09-14,v0.2.0-beta.2,x86_64,update,0
2026-09-15,v0.2.0-beta.1,aarch64,installer,0
2026-09-15,v0.2.0-beta.2,aarch64,installer,0
2026-09-15,v0.2.0-beta.2,aarch64,update,0
2026-09-15,v0.2.0-beta.2,x86_64,installer,0
2026-09-15,v0.2.0-beta.2,x86_64,update,0
2026-09-16,v0.2.0-beta.1,aarch64,installer,0
2026-09-16,v0.2.0-beta.2,aarch64,installer,1
2026-09-16,v0.2.0-beta.2,aarch64,update,0
2026-09-16,v0.2.0-beta.2,x86_64,installer,0
2026-09-16,v0.2.0-beta.2,x86_64,update,0
2026-09-17,v0.2.0-beta.1,aarch64,installer,0
2026-09-17,v0.2.0-beta.2,aarch64,installer,2
2026-09-17,v0.2.0-beta.2,aarch64,update,0
2026-09-17,v0.2.0-beta.2,x86_64,installer,0
2026-09-17,v0.2.0-beta.2,x86_64,update,0
2026-09-17,v0.2.0-beta.3,aarch64,installer,1
2026-09-17,v0.2.0-beta.3,aarch64,update,0
2026-09-17,v0.2.0-beta.3,x86_64,installer,0
2026-09-17,v0.2.0-beta.3,x86_64,update,0
2026-09-18,v0.2.0-beta.1,aarch64,installer,0
2026-09-18,v0.2.0-beta.2,aarch64,installer,0
2026-09-18,v0.2.0-beta.2,aarch64,update,0
2026-09-18,v0.2.0-beta.2,x86_64,installer,0
2026-09-18,v0.2.0-beta.2,x86_64,update,0
2026-09-18,v0.2.0-beta.3,aarch64,installer,4
2026-09-18,v0.2.0-beta.3,aarch64,update,3
2026-09-18,v0.2.0-beta.3,x86_64,installer,3
2026-09-18,v0.2.0-beta.3,x86_64,update,3
2026-09-19,v0.2.0-beta.1,aarch64,installer,0
2026-09-19,v0.2.0-beta.2,aarch64,installer,0
2026-09-19,v0.2.0-beta.2,aarch64,update,0
2026-09-19,v0.2.0-beta.2,x86_64,installer,0
2026-09-19,v0.2.0-beta.2,x86_64,update,0
2026-09-19,v0.2.0-beta.3,aarch64,installer,0
2026-09-19,v0.2.0-beta.3,aarch64,update,0
2026-09-19,v0.2.0-beta.3,x86_64,installer,0
2026-09-19,v0.2.0-beta.3,x86_64,update,0
